text,clean_text,Cluster,CategoriaAutomatica,CategoriaN1,CategoriaN2,CategoriaN3
36 DOILIES DOLLY GIRL,doilies dolly girl,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
36 DOILIES VINTAGE CHRISTMAS,doilies vintage christmas,6,"bag, christmas, vintage, tree, jumbo",Seasonal,Christmas,Jumbo Gift Bags & Tree
36 FOIL HEART CAKE CASES,foil heart cake cases,1,"heart, decoration, love, hanging, small",Home Decor,Romantic Decor,Hanging Heart
36 FOIL STAR CAKE CASES,foil star cake cases,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
36 PENCILS TUBE POSY,pencils tube posy,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
36 PENCILS TUBE RED RETROSPOT,pencils tube red retrospot,0,"red, box, retrospot, vintage, small",Gifts & Packaging,Gift Boxes,Vintage Small Box
36 PENCILS TUBE SKULLS,pencils tube skulls,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
36 PENCILS TUBE WOODLAND,pencils tube woodland,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
3D CHRISTMAS STAMPS STICKERS,christmas stamps stickers,6,"bag, christmas, vintage, tree, jumbo",Seasonal,Christmas,Jumbo Gift Bags & Tree
3D DOG PICTURE PLAYING CARDS,dog picture playing cards,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
3D HEARTS  HONEYCOMB PAPER GARLAND,hearts honeycomb paper garland,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
3D SHEET OF CAT STICKERS,sheet cat stickers,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
3D SHEET OF DOG STICKERS,sheet dog stickers,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
3D TRADITIONAL CHRISTMAS STICKERS,traditional christmas stickers,6,"bag, christmas, vintage, tree, jumbo",Seasonal,Christmas,Jumbo Gift Bags & Tree
3D VINTAGE CHRISTMAS STICKERS,vintage christmas stickers,6,"bag, christmas, vintage, tree, jumbo",Seasonal,Christmas,Jumbo Gift Bags & Tree
4 BLUE DINNER CANDLES SILVER FLOCK,blue dinner candles silver flock,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
4 BURGUNDY WINE DINNER CANDLES,burgundy wine dinner candles,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
4 GOLD FLOCK CHRISTMAS BALLS,gold flock christmas balls,6,"bag, christmas, vintage, tree, jumbo",Seasonal,Christmas,Jumbo Gift Bags & Tree
4 IVORY DINNER CANDLES SILVER FLOCK,ivory dinner candles silver flock,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
4 LAVENDER BOTANICAL DINNER CANDLES,lavender botanical dinner candles,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
4 LILY  BOTANICAL DINNER CANDLES,lily botanical dinner candles,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
4 PEAR BOTANICAL DINNER CANDLES,pear botanical dinner candles,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
4 PINK DINNER CANDLE SILVER FLOCK,pink dinner candle silver flock,2,"pink, polkadot, flower, flock, cover",Home Decor,Floral & Craft Decor,Pink Polkadot Floral
4 PINK FLOCK CHRISTMAS BALLS,pink flock christmas balls,2,"pink, polkadot, flower, flock, cover",Home Decor,Floral & Craft Decor,Pink Polkadot Floral
4 ROSE PINK DINNER CANDLES,rose pink dinner candles,2,"pink, polkadot, flower, flock, cover",Home Decor,Floral & Craft Decor,Pink Polkadot Floral
4 SKY BLUE DINNER CANDLES,sky blue dinner candles,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
4 TRADITIONAL SPINNING TOPS,traditional spinning tops,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
4 VANILLA BOTANICAL CANDLES,vanilla botanical candles,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
4 WILDFLOWER BOTANICAL CANDLES,wildflower botanical candles,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
5 HOOK HANGER MAGIC TOADSTOOL,hook hanger magic toadstool,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
5 HOOK HANGER RED MAGIC TOADSTOOL,hook hanger red magic toadstool,0,"red, box, retrospot, vintage, small",Gifts & Packaging,Gift Boxes,Vintage Small Box
5 STRAND GLASS NECKLACE AMBER,strand glass necklace amber,8,"necklace, shell, pendant, black, glass",Jewelry & Accessories,Necklaces,Shell & Glass Pendant
5 STRAND GLASS NECKLACE AMETHYST,strand glass necklace amethyst,8,"necklace, shell, pendant, black, glass",Jewelry & Accessories,Necklaces,Shell & Glass Pendant
5 STRAND GLASS NECKLACE BLACK,strand glass necklace black,8,"necklace, shell, pendant, black, glass",Jewelry & Accessories,Necklaces,Shell & Glass Pendant
5 STRAND GLASS NECKLACE CRYSTAL,strand glass necklace crystal,8,"necklace, shell, pendant, black, glass",Jewelry & Accessories,Necklaces,Shell & Glass Pendant
50CM METAL STRING WITH  7 CLIPS,cm metal string clips,4,"metal, sign, french, door, blue",Home Decor,Wall Signs,Vintage French Metal Sign
50'S CHRISTMAS PAPER GIFT BAG,christmas paper gift bag,6,"bag, christmas, vintage, tree, jumbo",Seasonal,Christmas,Jumbo Gift Bags & Tree
6 CHOCOLATE LOVE HEART T-LIGHTS,chocolate love heart lights,1,"heart, decoration, love, hanging, small",Home Decor,Romantic Decor,Hanging Heart
6 EGG HOUSE PAINTED WOOD,egg house painted wood,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
6 GIFT TAGS 50'S CHRISTMAS,gift tags christmas,6,"bag, christmas, vintage, tree, jumbo",Seasonal,Christmas,Jumbo Gift Bags & Tree
6 GIFT TAGS VINTAGE CHRISTMAS,gift tags vintage christmas,6,"bag, christmas, vintage, tree, jumbo",Seasonal,Christmas,Jumbo Gift Bags & Tree
6 RIBBONS ELEGANT CHRISTMAS,ribbons elegant christmas,6,"bag, christmas, vintage, tree, jumbo",Seasonal,Christmas,Jumbo Gift Bags & Tree
6 RIBBONS EMPIRE,ribbons empire,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
6 RIBBONS RUSTIC CHARM,ribbons rustic charm,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
6 RIBBONS SHIMMERING PINKS,ribbons shimmering pinks,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
6 ROCKET BALLOONS,rocket balloons,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
60 CAKE CASES DOLLY GIRL DESIGN,cake cases dolly girl design,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
60 CAKE CASES VINTAGE CHRISTMAS,cake cases vintage christmas,6,"bag, christmas, vintage, tree, jumbo",Seasonal,Christmas,Jumbo Gift Bags & Tree
60 GOLD AND SILVER FAIRY CAKE CASES,gold silver fairy cake cases,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
60 TEATIME FAIRY CAKE CASES,teatime fairy cake cases,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
6PC WOOD PLATE SET DISPOSABLE,pc wood plate set disposable,5,"set, cards, lights, paper, vintage",Party & Events,Party Sets,Vintage Cards & Lights
70'S ALPHABET WALL ART,alphabet wall art,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
72 CAKE CASES VINTAGE CHRISTMAS,cake cases vintage christmas,6,"bag, christmas, vintage, tree, jumbo",Seasonal,Christmas,Jumbo Gift Bags & Tree
72 SWEETHEART FAIRY CAKE CASES,sweetheart fairy cake cases,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
75 BLACK PETIT FOUR CASES,black petit four cases,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
75 GREEN FAIRY CAKE CASES,green fairy cake cases,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
75 GREEN PETIT FOUR CASES,green petit four cases,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
A PRETTY THANK YOU CARD,pretty thank card,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
A4 WALL TIDY BLUE OFFICE,wall tidy blue office,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
A4 WALL TIDY RED FLOWERS,wall tidy red flowers,0,"red, box, retrospot, vintage, small",Gifts & Packaging,Gift Boxes,Vintage Small Box
ABC TREASURE BOOK BOX,abc treasure book box,0,"red, box, retrospot, vintage, small",Gifts & Packaging,Gift Boxes,Vintage Small Box
ABSTRACT CIRCLE JOURNAL,abstract circle journal,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
ABSTRACT CIRCLES POCKET BOOK,abstract circles pocket book,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
ABSTRACT CIRCLES SKETCHBOOK,abstract circles sketchbook,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
ACRYLIC GEOMETRIC LAMP,acrylic geometric lamp,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
"ACRYLIC HANGING JEWEL,BLUE",acrylic hanging jewel blue,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
"ACRYLIC HANGING JEWEL,PINK",acrylic hanging jewel pink,2,"pink, polkadot, flower, flock, cover",Home Decor,Floral & Craft Decor,Pink Polkadot Floral
"ACRYLIC JEWEL ANGEL,PINK",acrylic jewel angel pink,2,"pink, polkadot, flower, flock, cover",Home Decor,Floral & Craft Decor,Pink Polkadot Floral
"ACRYLIC JEWEL ICICLE, BLUE",acrylic jewel icicle blue,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
"ACRYLIC JEWEL ICICLE, PINK",acrylic jewel icicle pink,2,"pink, polkadot, flower, flock, cover",Home Decor,Floral & Craft Decor,Pink Polkadot Floral
"ACRYLIC JEWEL SNOWFLAKE, PINK",acrylic jewel snowflake pink,2,"pink, polkadot, flower, flock, cover",Home Decor,Floral & Craft Decor,Pink Polkadot Floral
"ACRYLIC JEWEL SNOWFLAKE,PINK",acrylic jewel snowflake pink,2,"pink, polkadot, flower, flock, cover",Home Decor,Floral & Craft Decor,Pink Polkadot Floral
Adjust bad debt,adjust bad debt,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
ADULT APRON APPLE DELIGHT,adult apron apple delight,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
ADVENT CALENDAR GINGHAM SACK,advent calendar gingham sack,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
AFGHAN SLIPPER SOCK PAIR,afghan slipper sock pair,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
AGED GLASS SILVER T-LIGHT HOLDER,aged glass silver light holder,3,"holder, light, hanging, heart, glass",Home Decor,Candle Holders,Hanging Glass Holder
AIRLINE BAG VINTAGE JET SET BROWN,airline bag vintage jet set brown,5,"set, cards, lights, paper, vintage",Party & Events,Party Sets,Vintage Cards & Lights
AIRLINE BAG VINTAGE JET SET RED,airline bag vintage jet set red,5,"set, cards, lights, paper, vintage",Party & Events,Party Sets,Vintage Cards & Lights
AIRLINE BAG VINTAGE JET SET WHITE,airline bag vintage jet set white,5,"set, cards, lights, paper, vintage",Party & Events,Party Sets,Vintage Cards & Lights
AIRLINE BAG VINTAGE TOKYO 78,airline bag vintage tokyo,6,"bag, christmas, vintage, tree, jumbo",Seasonal,Christmas,Jumbo Gift Bags & Tree
AIRLINE BAG VINTAGE WORLD CHAMPION,airline bag vintage world champion,6,"bag, christmas, vintage, tree, jumbo",Seasonal,Christmas,Jumbo Gift Bags & Tree
"AIRLINE LOUNGE,METAL SIGN",airline lounge metal sign,4,"metal, sign, french, door, blue",Home Decor,Wall Signs,Vintage French Metal Sign
ALARM CLOCK BAKELIKE CHOCOLATE,alarm clock bakelike chocolate,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
ALARM CLOCK BAKELIKE GREEN,alarm clock bakelike green,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
ALARM CLOCK BAKELIKE IVORY,alarm clock bakelike ivory,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
ALARM CLOCK BAKELIKE ORANGE,alarm clock bakelike orange,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
ALARM CLOCK BAKELIKE PINK,alarm clock bakelike pink,2,"pink, polkadot, flower, flock, cover",Home Decor,Floral & Craft Decor,Pink Polkadot Floral
ALARM CLOCK BAKELIKE RED,alarm clock bakelike red,0,"red, box, retrospot, vintage, small",Gifts & Packaging,Gift Boxes,Vintage Small Box
ALPHABET HEARTS STICKER SHEET,alphabet hearts sticker sheet,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
ALPHABET STENCIL CRAFT,alphabet stencil craft,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
ALUMINIUM HEART,aluminium heart,1,"heart, decoration, love, hanging, small",Home Decor,Romantic Decor,Hanging Heart
ALUMINIUM STAMPED HEART,aluminium stamped heart,1,"heart, decoration, love, hanging, small",Home Decor,Romantic Decor,Hanging Heart
AMAZON FEE,amazon fee,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
AMBER 3 BEAD DROP EARRINGS,amber bead drop earrings,9,"earrings, drop, crystal, black, bead",Jewelry & Accessories,Earrings,Drop Crystal Beads
AMBER BERTIE GLASS BEAD BAG CHARM,amber bertie glass bead bag charm,6,"bag, christmas, vintage, tree, jumbo",Seasonal,Christmas,Jumbo Gift Bags & Tree
AMBER BERTIE MOBILE PHONE CHARM,amber bertie mobile phone charm,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
AMBER CHUNKY BEAD BRACELET W STRAP,amber chunky bead bracelet w strap,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
AMBER CHUNKY GLASS+BEAD NECKLACE,amber chunky glass bead necklace,8,"necklace, shell, pendant, black, glass",Jewelry & Accessories,Necklaces,Shell & Glass Pendant
AMBER CRYSTAL DROP EARRINGS,amber crystal drop earrings,9,"earrings, drop, crystal, black, bead",Jewelry & Accessories,Earrings,Drop Crystal Beads
AMBER DIAMANTE EXPANDABLE RING,amber diamante expandable ring,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
AMBER DROP EARRINGS W LONG BEADS,amber drop earrings w long beads,9,"earrings, drop, crystal, black, bead",Jewelry & Accessories,Earrings,Drop Crystal Beads
AMBER FINE BEAD NECKLACE W TASSEL,amber fine bead necklace w tassel,8,"necklace, shell, pendant, black, glass",Jewelry & Accessories,Necklaces,Shell & Glass Pendant
AMBER GLASS TASSLE BAG CHARM,amber glass tassle bag charm,6,"bag, christmas, vintage, tree, jumbo",Seasonal,Christmas,Jumbo Gift Bags & Tree
AMBER GLASS/SHELL/PEARL NECKLACE,amber glass shell pearl necklace,8,"necklace, shell, pendant, black, glass",Jewelry & Accessories,Necklaces,Shell & Glass Pendant
AMBER GLASS/SILVER BRACELET,amber glass silver bracelet,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
AMETHYST 3 BEAD DROP EARRINGS,amethyst bead drop earrings,9,"earrings, drop, crystal, black, bead",Jewelry & Accessories,Earrings,Drop Crystal Beads
AMETHYST CHUNKY BEAD BRACELET W STR,amethyst chunky bead bracelet w str,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
AMETHYST DIAMANTE EXPANDABLE RING,amethyst diamante expandable ring,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
AMETHYST DROP EARRINGS W LONG BEADS,amethyst drop earrings w long beads,9,"earrings, drop, crystal, black, bead",Jewelry & Accessories,Earrings,Drop Crystal Beads
AMETHYST GLASS/SHELL/PEARL NECKLACE,amethyst glass shell pearl necklace,8,"necklace, shell, pendant, black, glass",Jewelry & Accessories,Necklaces,Shell & Glass Pendant
AMETHYST HOOP EARRING FLORAL LEAF,amethyst hoop earring floral leaf,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
ANGEL DECORATION 3 BUTTONS,angel decoration buttons,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
ANGEL DECORATION PAINTED ZINC,angel decoration painted zinc,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
ANGEL DECORATION STARS ON DRESS,angel decoration stars dress,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
ANGEL DECORATION WITH LACE PADDED,angel decoration lace padded,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
ANIMAL STICKERS,animal stickers,7,"blue, vintage, glass, wall, design",Home Decor,Wall Decor,Vintage Glass Wall Design
